date,infected,all_infected,newly_infected,recovered,detected,all_detected,ratio_detected,hospitalized,icu,dead,r,percent_new_infected
2020-06-28,23049.0,151460.0,926.0,127889.0,3073.2,20194.666666666668,0.13333333333333333,530.127,106.02539999999999,2019.4666666666667,1.0198366394399065,0.006113785066782868
2020-06-29,23187.0,152427.0,967.0,128713.0,3091.6,20323.6,0.13333333333333333,533.301,106.66020000000002,2032.36,0.9742729306487695,0.006343978796546567
2020-06-30,23347.0,153439.0,1012.0,129564.0,3112.9333333333334,20458.533333333333,0.13333333333333333,536.981,107.39620000000001,2045.8533333333332,1.034981905910736,0.006595411887382691
2020-07-01,23585.0,154519.0,1080.0,130401.0,3144.6666666666665,20602.533333333333,0.13333333333333333,542.455,108.49100000000001,2060.2533333333336,1.0387323943661972,0.006989386487186125
2020-07-02,23807.0,155583.0,1064.0,131234.0,3174.2666666666664,20744.4,0.13333333333333333,547.561,109.5122,2074.44,1.0213776722090262,0.006838749485808309
2020-07-03,23949.0,156606.0,1023.0,132110.0,3193.2,20880.8,0.13333333333333333,550.827,110.1654,2088.08,0.9881235154394299,0.006532275057947601
2020-07-04,24170.0,157681.0,1075.0,132961.0,3222.6666666666665,21024.13333333333,0.13333333333333333,555.91,111.182,2102.4133333333334,1.0567536889897844,0.006817518803668142
2020-07-05,24397.0,158790.0,1109.0,133839.0,3252.9333333333334,21172.0,0.13333333333333333,561.131,112.2262,2117.2,0.9988290398126464,0.00698402302397491
2020-07-06,24597.0,159866.0,1076.0,134715.0,3279.6,21315.466666666667,0.13333333333333333,565.731,113.14620000000001,2131.5466666666666,1.0204081632653061,0.006730594806933264
2020-07-07,24816.0,160963.0,1097.0,135585.0,3308.7999999999997,21461.733333333334,0.13333333333333333,570.768,114.15360000000001,2146.173333333333,0.9863013698630136,0.006815188489351656
2020-07-08,25074.0,162101.0,1138.0,136465.0,3343.2,21613.466666666667,0.13333333333333333,576.702,115.3404,2161.346666666667,1.0136674259681093,0.007020271187277147
2020-07-09,25273.0,163171.0,1070.0,137336.0,3369.733333333333,21756.13333333333,0.13333333333333333,581.279,116.25580000000001,2175.6133333333332,1.0340909090909092,0.0065574976098840485
2020-07-10,25463.0,164249.0,1078.0,138220.0,3395.0666666666666,21899.866666666665,0.13333333333333333,585.649,117.1298,2189.9866666666667,1.0137772675086107,0.006563165905631659
2020-07-11,25700.0,165392.0,1143.0,139118.0,3426.6666666666665,22052.266666666666,0.13333333333333333,591.1,118.22000000000001,2205.2266666666665,1.0596846846846846,0.006910812428579202
2020-07-12,26022.0,166596.0,1204.0,139994.0,3469.6,22212.8,0.13333333333333333,598.506,119.7012,2221.28,1.030905077262693,0.0072270208947339985
2020-07-13,26264.0,167797.0,1201.0,140950.0,3501.866666666667,22372.933333333334,0.13333333333333333,604.072,120.8144,2237.2933333333335,1.028344671201814,0.007157415463831512
